년월,요일,상/하행,열차번호,출발역,출발시간,도착역,도착시간,최고혼잡도,재차인원,영업일,최고혼잡역
201901,금요일,상행,1164,반석,17:55:00,판암,18:35:00,152,720,20190111,탄방
201901,월요일,하행,1047,판암,8:12:00,반석,8:52:00,128,609,20190121,용문
201902,금요일,상행,1164,반석,17:55:00,판암,18:35:00,150,713,20190222,탄방
201902,월요일,하행,1047,판암,8:12:00,반석,8:52:00,118,561,20190218,용문
201903,금요일,상행,1164,반석,17:55:00,판암,18:35:00,165,781,20190315,탄방
201903,월요일,하행,1047,판암,8:12:00,반석,8:52:00,121,572,20190304,용문
201904,금요일,상행,1162,반석,17:48:00,판암,18:28:00,145,689,20190405,탄방
201904,수요일,하행,1047,판암,8:12:00,반석,8:52:00,122,580,20190417,용문
201905,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,153,724,20190503,탄방
201905,월요일,하행,1049,판암,08:18:00  ,반석,08:58:00  ,130,616,20190513,용문
